Date,Product,Currency,Value
21 October 2019,LME Aluminium,US$,"1,735.50"
21 October 2019,LME Copper,US$,"5,820.00"
21 October 2019,LME Zinc,US$,"2,500.00"
21 October 2019,LME Nickel,US$,"16,200.00"
21 October 2019,LME Lead,US$,"2,202.00"
21 October 2019,LME Tin,US$,"16,825.00"
21 October 2019,LME Aluminium Alloy,US$,"1,310.00"
21 October 2019,LME NASAAC,US$,"1,045.00"
21 October 2019,LME Cobalt,US$,"35,500.00"
21 October 2019,LME Gold,US$,"1,484.50"
21 October 2019,LME Silver,US$,17.575
21 October 2019,LME Steel Scrap,US$,256.00
21 October 2019,LME Steel Rebar,US$,417.00
22 October 2019,LME Aluminium,US$,"1,707.50"
22 October 2019,LME Copper,US$,"5,794.00"
22 October 2019,LME Zinc,US$,"2,503.00"
22 October 2019,LME Nickel,US$,"16,025.00"
22 October 2019,LME Lead,US$,"2,235.00"
22 October 2019,LME Tin,US$,"16,730.00"
22 October 2019,LME Aluminium Alloy,US$,"1,275.00"
22 October 2019,LME NASAAC,US$,"1,055.00"
22 October 2019,LME Cobalt,US$,"35,500.00"
22 October 2019,LME Gold,US$,"1,484.50"
22 October 2019,LME Silver,US$,17.465
22 October 2019,LME Steel Scrap,US$,253.50
22 October 2019,LME Steel Rebar,US$,415.50
23 October 2019,LME Aluminium,US$,"1,712.00"
23 October 2019,LME Copper,US$,"5,773.00"
23 October 2019,LME Zinc,US$,"2,510.00"
23 October 2019,LME Nickel,US$,"16,395.00"
23 October 2019,LME Lead,US$,"2,236.00"
23 October 2019,LME Tin,US$,"16,705.00"
23 October 2019,LME Aluminium Alloy,US$,"1,325.00"
23 October 2019,LME NASAAC,US$,"1,070.00"
23 October 2019,LME Cobalt,US$,"35,500.00"
23 October 2019,LME Gold,US$,"1,493.20"
23 October 2019,LME Silver,US$,17.560
23 October 2019,LME Steel Scrap,US$,254.00
23 October 2019,LME Steel Rebar,US$,413.00
24 October 2019,LME Aluminium,US$,"1,715.00"
24 October 2019,LME Copper,US$,"5,869.00"
24 October 2019,LME Zinc,US$,"2,518.50"
24 October 2019,LME Nickel,US$,"16,950.00"
24 October 2019,LME Lead,US$,"2,242.00"
24 October 2019,LME Tin,US$,"16,700.00"
24 October 2019,LME Aluminium Alloy,US$,"1,365.00"
24 October 2019,LME NASAAC,US$,"1,050.00"
24 October 2019,LME Cobalt,US$,"35,500.00"
24 October 2019,LME Gold,US$,"1,501.50"
24 October 2019,LME Silver,US$,17.780
24 October 2019,LME Steel Scrap,US$,253.00
24 October 2019,LME Steel Rebar,US$,414.00
25 October 2019,LME Aluminium,US$,"1,710.50"
25 October 2019,LME Copper,US$,"5,867.50"
25 October 2019,LME Zinc,US$,"2,544.00"
25 October 2019,LME Nickel,US$,"16,890.00"
25 October 2019,LME Lead,US$,"2,244.50"
25 October 2019,LME Tin,US$,"16,600.00"
25 October 2019,LME Aluminium Alloy,US$,"1,370.00"
25 October 2019,LME NASAAC,US$,"1,070.00"
25 October 2019,LME Cobalt,US$,"35,500.00"
25 October 2019,LME Gold,US$,"1,503.20"
25 October 2019,LME Silver,US$,17.945
25 October 2019,LME Steel Scrap,US$,257.00
25 October 2019,LME Steel Rebar,US$,416.00
28 October 2019,LME Aluminium,US$,"1,727.00"
28 October 2019,LME Copper,US$,"5,888.50"
28 October 2019,LME Zinc,US$,"2,577.00"
28 October 2019,LME Nickel,US$,"16,680.00"
28 October 2019,LME Lead,US$,"2,232.00"
28 October 2019,LME Tin,US$,"16,900.00"
28 October 2019,LME Aluminium Alloy,US$,"1,330.00"
28 October 2019,LME NASAAC,US$,"1,080.00"
28 October 2019,LME Cobalt,US$,"35,500.00"
28 October 2019,LME Gold,US$,"1,492.30"
28 October 2019,LME Silver,US$,17.880
28 October 2019,LME Steel Scrap,US$,257.00
28 October 2019,LME Steel Rebar,US$,418.00
29 October 2019,LME Aluminium,US$,"1,737.50"
29 October 2019,LME Copper,US$,"5,879.50"
29 October 2019,LME Zinc,US$,"2,586.00"
29 October 2019,LME Nickel,US$,"16,680.00"
29 October 2019,LME Lead,US$,"2,267.00"
29 October 2019,LME Tin,US$,"16,725.00"
29 October 2019,LME Aluminium Alloy,US$,"1,350.00"
29 October 2019,LME NASAAC,US$,"1,130.00"
29 October 2019,LME Cobalt,US$,"35,500.00"
29 October 2019,LME Gold,US$,"1,489.00"
29 October 2019,LME Silver,US$,17.815
29 October 2019,LME Steel Scrap,US$,252.50
29 October 2019,LME Steel Rebar,US$,414.50
30 October 2019,LME Aluminium,US$,"1,746.50"
30 October 2019,LME Copper,US$,"5,883.00"
