Date,Product,Currency,Value,Type
21 October 2019,LME Aluminium,US$,"1,735.50",Non ferrous metals
21 October 2019,LME Copper,US$,"5,820.00",Non ferrous metals
21 October 2019,LME Zinc,US$,"2,500.00",Non ferrous metals
21 October 2019,LME Nickel,US$,"16,200.00",Non ferrous metals
21 October 2019,LME Lead,US$,"2,202.00",Non ferrous metals
21 October 2019,LME Tin,US$,"16,825.00",Non ferrous metals
21 October 2019,LME Aluminium Alloy,US$,"1,310.00",Non ferrous metals
21 October 2019,LME NASAAC,US$,"1,045.00",Non ferrous metals
21 October 2019,LME Cobalt,US$,"35,500.00",Minor metals
21 October 2019,LME Gold,US$,"1,484.50",Precious metals
21 October 2019,LME Silver,US$,17.575,Precious metals
21 October 2019,LME Steel Scrap,US$,256.00,Ferrous metals
21 October 2019,LME Steel Rebar,US$,417.00,Ferrous metals
22 October 2019,LME Aluminium,US$,"1,707.50",Non ferrous metals
22 October 2019,LME Copper,US$,"5,794.00",Non ferrous metals
22 October 2019,LME Zinc,US$,"2,503.00",Non ferrous metals
22 October 2019,LME Nickel,US$,"16,025.00",Non ferrous metals
22 October 2019,LME Lead,US$,"2,235.00",Non ferrous metals
22 October 2019,LME Tin,US$,"16,730.00",Non ferrous metals
22 October 2019,LME Aluminium Alloy,US$,"1,275.00",Non ferrous metals
22 October 2019,LME NASAAC,US$,"1,055.00",Non ferrous metals
22 October 2019,LME Cobalt,US$,"35,500.00",Minor metals
22 October 2019,LME Gold,US$,"1,484.50",Precious metals
22 October 2019,LME Silver,US$,17.465,Precious metals
22 October 2019,LME Steel Scrap,US$,253.50,Ferrous metals
22 October 2019,LME Steel Rebar,US$,415.50,Ferrous metals
23 October 2019,LME Aluminium,US$,"1,712.00",Non ferrous metals
23 October 2019,LME Copper,US$,"5,773.00",Non ferrous metals
23 October 2019,LME Zinc,US$,"2,510.00",Non ferrous metals
23 October 2019,LME Nickel,US$,"16,395.00",Non ferrous metals
23 October 2019,LME Lead,US$,"2,236.00",Non ferrous metals
23 October 2019,LME Tin,US$,"16,705.00",Non ferrous metals
23 October 2019,LME Aluminium Alloy,US$,"1,325.00",Non ferrous metals
23 October 2019,LME NASAAC,US$,"1,070.00",Non ferrous metals
23 October 2019,LME Cobalt,US$,"35,500.00",Minor metals
23 October 2019,LME Gold,US$,"1,493.20",Precious metals
23 October 2019,LME Silver,US$,17.560,Precious metals
23 October 2019,LME Steel Scrap,US$,254.00,Ferrous metals
23 October 2019,LME Steel Rebar,US$,413.00,Ferrous metals
24 October 2019,LME Aluminium,US$,"1,715.00",Non ferrous metals
24 October 2019,LME Copper,US$,"5,869.00",Non ferrous metals
24 October 2019,LME Zinc,US$,"2,518.50",Non ferrous metals
24 October 2019,LME Nickel,US$,"16,950.00",Non ferrous metals
24 October 2019,LME Lead,US$,"2,242.00",Non ferrous metals
24 October 2019,LME Tin,US$,"16,700.00",Non ferrous metals
24 October 2019,LME Aluminium Alloy,US$,"1,365.00",Non ferrous metals
24 October 2019,LME NASAAC,US$,"1,050.00",Non ferrous metals
24 October 2019,LME Cobalt,US$,"35,500.00",Minor metals
24 October 2019,LME Gold,US$,"1,501.50",Precious metals
24 October 2019,LME Silver,US$,17.780,Precious metals
24 October 2019,LME Steel Scrap,US$,253.00,Ferrous metals
24 October 2019,LME Steel Rebar,US$,414.00,Ferrous metals
25 October 2019,LME Aluminium,US$,"1,710.50",Non ferrous metals
25 October 2019,LME Copper,US$,"5,867.50",Non ferrous metals
25 October 2019,LME Zinc,US$,"2,544.00",Non ferrous metals
25 October 2019,LME Nickel,US$,"16,890.00",Non ferrous metals
25 October 2019,LME Lead,US$,"2,244.50",Non ferrous metals
25 October 2019,LME Tin,US$,"16,600.00",Non ferrous metals
